{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[43/10000000] D: 1.36|G: 0.99|Recon: 2.23|Consis: 0.52|Content: 3.16|Style: 12.99|T: 9.07|| M2MM: 0.00|MM2M: 0.00| M2MM
[44/10000000] D: 1.09|G: 0.99|Recon: 2.40|Consis: 0.58|Content: 3.36|Style: 11.99|T: 8.95|| M2MM: 0.00|MM2M: 0.00| M2MM
[45/10000000] D: 1.08|G: 1.01|Recon: 2.36|Consis: 0.60|Content: 4.06|Style: 11.61|T: 9.05|| M2MM: 0.00|MM2M: 0.00| M2MM
[46/10000000] D: 1.06|G: 1.02|Recon: 2.32|Consis: 0.54|Content: 3.85|Style: 11.46|T: 9.00|| M2MM: 0.00|MM2M: 0.00| M2MM
[47/10000000] D: 1.08|G: 0.55|Recon: 1.93|Consis: 0.50|Content: 2.49|Style: 11.04|T: 9.00|| M2MM: 0.00|MM2M: 0.00| M2MM
[48/10000000] D: 1.52|G: 1.02|Recon: 1.94|Consis: 0.62|Content: 3.80|Style: 11.00|T: 9.09|| M2MM: 0.00|MM2M: 0.00| M2MM
[49/10000000] D: 1.18|G: 1.06|Recon: 2.06|Consis: 0.55|Content: 2.82|Style: 12.04|T: 9.02|| M2MM: 0.00|MM2M: 0.00| M2MM
[50/10000000] D: 1.22|G: 1.08|Recon: 2.33|Consis: 0.62|Content: 3.56|Style: 12.40|T: 9.10|| M2MM: 0.00|MM2M: 0.00| M2MM
[51/10000000] D: 1.15|G: 1.11|Recon: 2.23|Consis: 0.58|Content: 4.18|Style: 11.01|T: 8.89|| M2MM: 0.00|MM2M: 0.00| M2MM
[52/10000000] D: 1.16|G: 1.08|Recon: 2.05|Consis: 0.52|Content: 3.11|Style: 10.33|T: 9.07|| M2MM: 0.00|MM2M: 0.00| M2MM
[53/10000000] D: 1.21|G: 1.07|Recon: 1.93|Consis: 0.53|Content: 3.16|Style: 10.41|T: 8.94|| M2MM: 0.00|MM2M: 0.00| M2MM
[54/10000000] D: 1.11|G: 1.14|Recon: 1.97|Consis: 0.54|Content: 2.93|Style: 10.89|T: 9.00|| M2MM: 0.00|MM2M: 0.00| M2MM
[55/10000000] D: 1.06|G: 1.19|Recon: 2.02|Consis: 0.52|Content: 3.18|Style: 11.85|T: 8.99|| M2MM: 0.00|MM2M: 0.00| M2MM
[56/10000000] D: 1.01|G: 1.21|Recon: 1.94|Consis: 0.51|Content: 3.38|Style: 11.14|T: 8.91|| M2MM: 0.00|MM2M: 0.00| M2MM
[57/10000000] D: 0.97|G: 1.26|Recon: 1.94|Consis: 0.50|Content: 2.79|Style: 11.53|T: 8.97|| M2MM: 0.00|MM2M: 0.00| M2MM
[58/10000000] D: 0.93|G: 1.38|Recon: 2.00|Consis: 0.54|Content: 3.05|Style: 11.97|T: 8.97|| M2MM: 0.00|MM2M: 0.00| M2MM
